track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,74,Nathan Evans,62,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),116750,spotify:track:3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0.0,-3.255,0.0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,audio_features,3iw6V4LH7yPj1ESORX9RIN,spotify:track:3iw6V4LH7yPj1ESORX9RIN,https://api.spotify.com/v1/tracks/3iw6V4LH7yPj1ESORX9RIN,https://api.spotify.com/v1/audio-analysis/3iw6V4LH7yPj1ESORX9RIN,116750.0,4.0,1602,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix) | Official Video,Nathan Evans,114799531,567400,-2124,M26V1IWAP-E,3iw6V4LH7yPj1ESORX9RIN,6920382912953108481,1550182803,1550182794,8NAXPUrCIFL9
"Ran Bim Bam (with Rochy RD, Yomel El Meloso, Bryant Grety, Tief El Bellaco) - Remix",50,Quimico Ultra Mega,54,Ran Bim Bam (Remix),272000,spotify:track:2HlLAQJS5Myqi79v0503Yp,0.876,0.781,8.0,-2.256,0.0,0.177,0.00902,0.0,0.354,0.705,119.987,audio_features,2HlLAQJS5Myqi79v0503Yp,spotify:track:2HlLAQJS5Myqi79v0503Yp,https://api.spotify.com/v1/tracks/2HlLAQJS5Myqi79v0503Yp,https://api.spotify.com/v1/audio-analysis/2HlLAQJS5Myqi79v0503Yp,272000.0,4.0,1603,RAN BIM BAM REMIX - QUIMICO ULTRA MEGA ❌ ROCHY RD ❌ YOMEL EL MELOSO ❌ BRYANT GRETY ❌ TIEF EL BELLACO,yomel el meloso,127605578,567296,-3032,A6OB8fTzLrg,2HlLAQJS5Myqi79v0503Yp,7000118867565857541,1526363076,1526362865,9dUPi69SXfkt
Not Your Barbie Girl,75,Ava Max,78,Not Your Barbie Girl,186520,spotify:track:4fkM7M4Uo5AUASnnsRC7EZ,0.745,0.642,6.0,-4.138,0.0,0.0506,0.103,0.0,0.0335,0.35,120.063,audio_features,4fkM7M4Uo5AUASnnsRC7EZ,spotify:track:4fkM7M4Uo5AUASnnsRC7EZ,https://api.spotify.com/v1/tracks/4fkM7M4Uo5AUASnnsRC7EZ,https://api.spotify.com/v1/audio-analysis/4fkM7M4Uo5AUASnnsRC7EZ,186520.0,4.0,1604,Ava Max - Not Your Barbie Girl [Official Audio],Ava Max,44146418,567200,513,dvLm14-zDM8,4fkM7M4Uo5AUASnnsRC7EZ,6595430246588091137,1426026197,1426026136,vnCTE1Z3aTmI
Shouldn't Be,1,Luke Chiang,59,Shouldn't Be,210436,spotify:track:3wefloF3t1sFZx8YMFhqYB,0.651,0.291,4.0,-10.009,1.0,0.0326,0.738,0.0,0.115,0.302,124.898,audio_features,3wefloF3t1sFZx8YMFhqYB,spotify:track:3wefloF3t1sFZx8YMFhqYB,https://api.spotify.com/v1/tracks/3wefloF3t1sFZx8YMFhqYB,https://api.spotify.com/v1/audio-analysis/3wefloF3t1sFZx8YMFhqYB,210436.0,3.0,1606,Shouldn't Be,Luke Chiang,27404301,566600,-1020,GFf5qIfbGcA,3wefloF3t1sFZx8YMFhqYB,6849057237097252866,1460433513,1460433512,1vaGIohsJpKI
Magandang Dilag,35,JM Bales,31,Magandang Dilag,237818,spotify:track:3us3yACYidjyZwm9to0czY,0.898,0.458,6.0,-12.568,0.0,0.0463,0.07,0.0,0.387,0.748,110.014,audio_features,3us3yACYidjyZwm9to0czY,spotify:track:3us3yACYidjyZwm9to0czY,https://api.spotify.com/v1/tracks/3us3yACYidjyZwm9to0czY,https://api.spotify.com/v1/audio-analysis/3us3yACYidjyZwm9to0czY,237818.0,4.0,1607,Magandang Dilag,JM Bales,14044764,565900,4244,5Qe7URYAmCM,3us3yACYidjyZwm9to0czY,6888114174698719233,1541562516,1541562335,og50GSsUifZx
Late Night Melancholy,55,Rude Boy,38,Late Night Melancholy,258639,spotify:track:0ZRTBsgVroKktG2qJoIzoo,0.717,0.289,1.0,-11.617,1.0,0.0347,0.897,0.896,0.147,0.383,120.013,audio_features,0ZRTBsgVroKktG2qJoIzoo,spotify:track:0ZRTBsgVroKktG2qJoIzoo,https://api.spotify.com/v1/tracks/0ZRTBsgVroKktG2qJoIzoo,https://api.spotify.com/v1/audio-analysis/0ZRTBsgVroKktG2qJoIzoo,258639.0,4.0,1608,Rude Boy & White Cherry - Late Night Melancholy (Official Video),Rude Boy,55794112,565800,8250,RxglYGHuqFc,0ZRTBsgVroKktG2qJoIzoo,6837790748222425089,1518246386,1518246385,3CUFItBkGGV2
Love Story - US Album Version,0,Taylor Swift,100,Fearless (Platinum Edition),235280,spotify:track:4ikR3lDFcZ0hNKyVONfi4N,0.618,0.736,2.0,-3.937,1.0,0.0308,0.157,0.0,0.073,0.307,118.982,audio_features,4ikR3lDFcZ0hNKyVONfi4N,spotify:track:4ikR3lDFcZ0hNKyVONfi4N,https://api.spotify.com/v1/tracks/4ikR3lDFcZ0hNKyVONfi4N,https://api.spotify.com/v1/audio-analysis/4ikR3lDFcZ0hNKyVONfi4N,235280.0,4.0,1609,Taylor Swift - Love Story,Taylor Swift,259197315,564700,10606,8xg3vE8Ie_E,4ikR3lDFcZ0hNKyVONfi4N,6930523644654045185,1452879748,1452879607,9q3K5C6760Pr
My Truck,0,BRELAND,58,My Truck,158329,spotify:track:1mpD5ioZ9479I6CuKxn3K9,0.883,0.299,2.0,-8.382,1.0,0.105,0.232,5.62e-06,0.162,0.551,136.985,audio_features,1mpD5ioZ9479I6CuKxn3K9,spotify:track:1mpD5ioZ9479I6CuKxn3K9,https://api.spotify.com/v1/tracks/1mpD5ioZ9479I6CuKxn3K9,https://api.spotify.com/v1/audio-analysis/1mpD5ioZ9479I6CuKxn3K9,158329.0,4.0,1610,BRELAND - My Truck (Music Video),Breland,83621340,564700,-525,ezqTO4xaH6A,1mpD5ioZ9479I6CuKxn3K9,6742246744534288386,1513635488,1513635172,xBFnwww525Zd
С какой стати?,22,Ksenon,24,С какой стати?,123535,spotify:track:14mSn0rP9rIgv8mjUPCHJF,0.601,0.911,1.0,-4.158,1.0,0.42,0.0305,0.0,0.295,0.313,164.85,audio_features,14mSn0rP9rIgv8mjUPCHJF,spotify:track:14mSn0rP9rIgv8mjUPCHJF,https://api.spotify.com/v1/tracks/14mSn0rP9rIgv8mjUPCHJF,https://api.spotify.com/v1/audio-analysis/14mSn0rP9rIgv8mjUPCHJF,123536.0,4.0,1611,С какой стати?,Ksenon & XBRO,44518410,563910,-2205,,14mSn0rP9rIgv8mjUPCHJF,6895349824007523074,,,wK5UischX4NY
Phonk,49,2ouble.cup,28,Phonk,123094,spotify:track:41aIeuDj9cx1RXYxZYWLyL,0.73,0.858,9.0,-5.44,1.0,0.0653,0.439,0.821,0.105,0.602,160.002,audio_features,41aIeuDj9cx1RXYxZYWLyL,spotify:track:41aIeuDj9cx1RXYxZYWLyL,https://api.spotify.com/v1/tracks/41aIeuDj9cx1RXYxZYWLyL,https://api.spotify.com/v1/audio-analysis/41aIeuDj9cx1RXYxZYWLyL,123095.0,4.0,1612,Phonk,2ouble.cup,89441553,563900,-3500,gZphzetFOxI,41aIeuDj9cx1RXYxZYWLyL,6873396813387270145,,,TSgS94tMjMWN
