track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
éternel,0,Hatik,56,vague à l'âme,247986,spotify:track:6qA7BY2EsWb5QfUeFzyV7I,0.761,0.227,6,-11.341,1,0.0564,0.711,0.000203,0.0936,0.0939,117.024,audio_features,6qA7BY2EsWb5QfUeFzyV7I,spotify:track:6qA7BY2EsWb5QfUeFzyV7I,https://api.spotify.com/v1/tracks/6qA7BY2EsWb5QfUeFzyV7I,https://api.spotify.com/v1/audio-analysis/6qA7BY2EsWb5QfUeFzyV7I,247987,4,1801,Éternel,Hatik,35750064,505300,2628,0sof3qPykvA,6qA7BY2EsWb5QfUeFzyV7I,6937573912302389250,1556710197,1556708972,sQnAYZ6Hpl1L
Cooler Than Me,1,Lucky Luke,58,Cooler Than Me,208278,spotify:track:7LUdqlJLUzbAIq9eXPbR3T,0.862,0.621,7,-7.865,1,0.0618,0.0543,0.0959,0.108,0.134,127.991,audio_features,7LUdqlJLUzbAIq9eXPbR3T,spotify:track:7LUdqlJLUzbAIq9eXPbR3T,https://api.spotify.com/v1/tracks/7LUdqlJLUzbAIq9eXPbR3T,https://api.spotify.com/v1/audio-analysis/7LUdqlJLUzbAIq9eXPbR3T,208279,4,1802,Lucky Luke - Cooler Than Me (Official Video),Lucky Luke,12555051,505100,652,A3pJB4m713M,7LUdqlJLUzbAIq9eXPbR3T,6696407254461057026,1462752404,1462752396,n9Q1Z28LcZr8
Money Trees,77,Kendrick Lamar,87,"good kid, m.A.A.d city (Deluxe)",386906,spotify:track:0UtnpKaReKUg2GquaSxCyD,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,audio_features,0UtnpKaReKUg2GquaSxCyD,spotify:track:0UtnpKaReKUg2GquaSxCyD,https://api.spotify.com/v1/tracks/0UtnpKaReKUg2GquaSxCyD,https://api.spotify.com/v1/audio-analysis/0UtnpKaReKUg2GquaSxCyD,386907,4,1803,Money Trees,Kendrick Lamar,58938773,504832,49767,Iy-dJwHVX84,0UtnpKaReKUg2GquaSxCyD,6753487809195018242,1440873538,1440873524,Cd9Llkwgmm72
Blinding Lights,69,Loi,58,Blinding Lights,147368,spotify:track:0cQJGoRki2avKVodXEmr0d,0.486,0.18,10,-10.906,0,0.0565,0.917,0.0,0.128,0.54,73.127,audio_features,0cQJGoRki2avKVodXEmr0d,spotify:track:0cQJGoRki2avKVodXEmr0d,https://api.spotify.com/v1/tracks/0cQJGoRki2avKVodXEmr0d,https://api.spotify.com/v1/audio-analysis/0cQJGoRki2avKVodXEmr0d,147368,3,1804,The Weeknd - Blinding Lights (Cover by Loi),loi,83609648,503200,1180,DFulMvsb6Y0,0cQJGoRki2avKVodXEmr0d,7004847277115000834,1584826307,1584826306,Jx49altVWPPD
How Bad Can I Be?,0,Ed Helms,51,I'm The Bad Guy,172160,spotify:track:5yDBRPrruY91vhGJFLd4PU,0.795,0.867,9,-5.378,1,0.136,0.0708,0.0,0.0623,0.767,97.993,audio_features,5yDBRPrruY91vhGJFLd4PU,spotify:track:5yDBRPrruY91vhGJFLd4PU,https://api.spotify.com/v1/tracks/5yDBRPrruY91vhGJFLd4PU,https://api.spotify.com/v1/audio-analysis/5yDBRPrruY91vhGJFLd4PU,172160,4,1805,Dr. Seuss' the Lorax (2012) - How Bad Can I Be Scene (7/10) | Movieclips,The Lorax,165801205,502200,3924,BXlYuaycRbU,5yDBRPrruY91vhGJFLd4PU,249688972656971776,1681633142,1681631629,mdYcAgSCkXFo
Не смогу,44,VERBEE,42,Не смогу,152486,spotify:track:5kz5xxalI7xapafCAvWlb1,0.629,0.573,5,-5.523,0,0.36,0.392,0.000113,0.13,0.24,179.965,audio_features,5kz5xxalI7xapafCAvWlb1,spotify:track:5kz5xxalI7xapafCAvWlb1,https://api.spotify.com/v1/tracks/5kz5xxalI7xapafCAvWlb1,https://api.spotify.com/v1/audio-analysis/5kz5xxalI7xapafCAvWlb1,152486,4,1808,"VERBEE, KARA KROSS - Не смогу (Премьера клипа 2020)",verbee_evg & Карина,41517197,501700,-1188,q7bAayFFK2Q,5kz5xxalI7xapafCAvWlb1,6856850014858135553,1526143531,1526143530,u4E9CrU2vOzA
Big Thug Boys,0,AV,15,Big Thug Boys,172690,spotify:track:5dFSwQk7dEGgccEpyzqskS,0.861,0.721,10,-4.473,0,0.133,0.39,0.00827,0.108,0.831,108.105,audio_features,5dFSwQk7dEGgccEpyzqskS,spotify:track:5dFSwQk7dEGgccEpyzqskS,https://api.spotify.com/v1/tracks/5dFSwQk7dEGgccEpyzqskS,https://api.spotify.com/v1/audio-analysis/5dFSwQk7dEGgccEpyzqskS,172690,4,1809,Big Thug Boys,AV,24025685,501432,460,xx8JjpRJTL8,5dFSwQk7dEGgccEpyzqskS,6965527712475645953,1608915605,1608915604,bvpOkBYxLwFC
Aku Bukan Dia,47,Asbak Band,32,Aku Bukan Dia,210225,spotify:track:4Y75QdnMwmt4XptKrWceGC,0.659,0.477,9,-6.885,1,0.0286,0.502,0.0,0.0959,0.415,133.0,audio_features,4Y75QdnMwmt4XptKrWceGC,spotify:track:4Y75QdnMwmt4XptKrWceGC,https://api.spotify.com/v1/tracks/4Y75QdnMwmt4XptKrWceGC,https://api.spotify.com/v1/audio-analysis/4Y75QdnMwmt4XptKrWceGC,210226,4,1810,Asbak Band - Aku Bukan Dia | Hargai Aku (Official Music Video),Asbak Band,3359126,501200,3600,XEN4WBVl81k,4Y75QdnMwmt4XptKrWceGC,6656575298244446978,,,r298WeApW28W
I've Got a Dream,43,Mandy Moore,62,Tangled (Original Motion Picture Soundtrack/Japanese Version),191413,spotify:track:0x6KKx5DATCW0tBdosjMyg,0.607,0.543,4,-7.603,1,0.0991,0.628,0.0,0.172,0.885,134.242,audio_features,0x6KKx5DATCW0tBdosjMyg,spotify:track:0x6KKx5DATCW0tBdosjMyg,https://api.spotify.com/v1/tracks/0x6KKx5DATCW0tBdosjMyg,https://api.spotify.com/v1/audio-analysis/0x6KKx5DATCW0tBdosjMyg,191413,4,1811,original sound,✨Mandy✨,11036338,501000,-800,,0x6KKx5DATCW0tBdosjMyg,6525833684786877455,1440639401,1440639057,THv7qe1IaVmC
Níu Duyên,35,Lê Bảo Bình,32,Níu Duyên,382772,spotify:track:2TAXrz8RMhDUBjX5Hc8q7X,0.779,0.809,9,-4.475,0,0.035,0.0951,0.0175,0.27,0.609,140.001,audio_features,2TAXrz8RMhDUBjX5Hc8q7X,spotify:track:2TAXrz8RMhDUBjX5Hc8q7X,https://api.spotify.com/v1/tracks/2TAXrz8RMhDUBjX5Hc8q7X,https://api.spotify.com/v1/audio-analysis/2TAXrz8RMhDUBjX5Hc8q7X,382772,4,1812,NÍU DUYÊN | LÊ BẢO BÌNH | OFFICIAL MUSIC VIDEO,Lê Bảo Bình,23755736,500900,-1584,uo6VU4euIbY,2TAXrz8RMhDUBjX5Hc8q7X,6940124149725546498,1556029598,1556029055,mhHWOBwfzs38
